Filename;; ;AART;ART;Deflate;GGZnoRLE;GGZRLE;HUF;LZ78;LZ77;LZW;PPM5;PPM2;PPM3;PPM4;;PAQ8L -5;Min;Ratio;;;Calgary;Calgary original;Media Calgary
progl;;71646;42976;44770;19864;17335;20868;43084;40616;25118;33050;20765;29995;22471;19755;;10621;17335;1,935627949;;;;;
progp;;49379;30290;32102;14073;11759;14111;30318;29180;17486;24034;14793;20955;14964;13639;;7128;11759;1,905101359;;;;;
ptt5;;513216;77962;79686;58035;70969;63735;106728;79682;74575;70116;61773;55119;54120;56609;;22534;54120;0,843621399;;;;;
ScreenPrinter;.cpp;40498;26426;28248;7792;6777;7618;26513;20162;9308;16818;9331;15243;9499;8681;;3747;6777;1,338732777;;;;;
Sir-William-Stephen-Richard-King-Hall-The-Diary-Of-a-U-boat;.txt;268855;151555;153291;126871;99084;119968;152607;152736;166924;122230;91304;117724;99390;88876;;69319;88876;2,644577932;;;;;
sum;;38240;25632;27523;15622;13976;16601;25914;26198;18341;25054;17992;18354;15888;16291;;7521;13976;2,923849372;;;;;
trans;;93695;65054;66850;23108;19355;24139;65333;54344;28028;44882;25207;41160;29218;24639;;11639;19355;1,65259619;;;;;
walkbridge;.tif;525106;318233;320078;291572;268206;272256;319232;307031;372754;301644;244088;254131;207288;226141;;188157;207288;3,158036663;;;;;
woman_blonde;.tif;262750;228749;230584;224543;184729;250832;229846;239804;270255;230162;233927;172687;182595;204089;;150650;172687;5,257834443;;;;;
woman_darkhair;.tif;262750;239519;241377;221932;146317;202210;240438;215699;245873;197044;181016;134440;140776;156989;;120987;134440;4,093320647;;;;;
world192;.txt;2473400;1545742;1547405;853900;717926;846890;1558708;1030961;1061469;933702;578178;1135634;880446;674235;;311528;578178;1,870067114;;;;;
xargs;.1;4227;2737;4638;2122;1827;2267;2689;3776;2835;3584;2324;2131;1903;2034;;1414;1827;3,457771469;;;;;
;;;;;;;;;;;;;;;;;;;;;41 PPM;;;
;;;;;;;;;;;;;;;;;;;;;25 outros;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,321812109;;;;;;;
